context,response
Y'know what the worse part was?,I got to see what my life would be like without you. It was like It's a Wonderful Life with lap dances.
I just got engaged to my soulmate.,"Wow, a soulmate. How convenient. Did you find them in the yellow pages under 'people who can tolerate you'?"
To celebrate your relationship! To solidify your commitment! To declare your love for one another to the world!,Eh...
"Yeah, see, I don't think it's gonna that difficult considering this one won't be taking place in the basement of a Pizza Hut.","Oh, I'm Ross. I'm Ross. I'm too good for the Hut; I'm too good for the Hut."
Monica's a little drunk.,Yay! I love drunk Monica!
You're not invited?,"Well, I'm sorry. I thought parents were coming! Y'know? Your parents are comin'! Chandler's parents are comin'! Ross's parents are comin'!"
I just got engaged to my soulmate.,"Wow, congratulations! I'm sure the 37 other guys she dated before you were just, uh, 'practice'."
I just got engaged to my soulmate.,"Wow, that's amazing. I'm sure the fact that you've known them for three weeks has nothing to do with it."
Phoebe asked me to baby sit the triplets and I'm nervous 'cause I've never done that before by myself!,"Yeah, I'm gonna pass. 'Cause I was kinda iffy when it was puppies."
"Listen Eddie, um, I've been thinking about our current living situation and uh, why are you smiling?","I got a little surprise, look. There's a new fishie. I named him uh, Chandler, you know, after, after you."
Can I ask you something?,"Uhh, no."
"Listen, I-I need a favor. Umm, I was in the shower, and as I was cleansing myself, I ah, I-I, well I felt something.",Was it like a sneeze only better?
I slept with Monica.,Well let's....let's see what everybody thinks of that?
What did Elizabeth say?,"Well, it turns out that she is going to Daytona for spring break woo-hoo. That means, that means wet T-shirt contests, guys doing shots off of girl's bodies, waking up next to people you don't even know..."
You knew about that?,"Well, let's just say the impressions you made in the butter left little to the imagination."
I hate this year! It's already February and I've only given two massages and they were both the worst tippers in the world!,That was me and Ross.
I'm crying here!!,"Okay, hear me out. Okay? You give the best bad massages."
"Hey, listen, why don't we go change in my room?",But my clothes are-ohh!
"I could help but notice, but that's an unusual necklace.","Right, so that's a firm 'no'. I cannot believe this, I just keep striking out."
Really? Who's number two?,Who's number two? One of the more difficult games sewer workers play.
That's better. 90 seconds is a long time not to think about it...except all I did was think about it.,"You know, it haunts me? Up 'til now, the worst thing I ever saw, was my father doing tequila shots off the naked houseboy. After this, I would gladly make that my screensaver!"
"Hello! Oh yeah! It's the apartment manager; Ross put us down as references. Ross is the greatest guy you'll ever meet! Yeah, he's very reliable.","Of course he has this big huge dog! That uh, barks into the night. Well, who doesn't love dogs? Ah, he's a tap dancer! Yes, some would say that is a lost art. He's a pimp! There you go! Yes, he's a pimp. He's a big, tap dancing pimp! Hello?"
"I love this song! Come on, you'll be fine.","No. No, I won't. Do you know why I took all those lessons? See, for the first time I didn't want you to be embarrassed to be seen on the dance floor with some clumsy idiot."
I just got engaged to my soulmate.,"Oh, wow! Because nothing says 'soulmate' like someone who's willing to tolerate you for the rest of their life."
You sure found that quick.,I wasn't trying to open your closet! I wasn't trying to open your closet! I swear!
"You are, you're gonna leave me like this?","Okay. But if you don't come back soon, there's pretty much nothing I can do about it!"
A lesson in the importance of unagi.,"Perhaps. Now I'm curious, at what point during those girlish screams would you have begun to kick my ass?"
I'm gonna tell the father today,"I'm like Ed McMahon except without the big check, or the raw sexual magnetism."
Big picture please!,"So I was in the gift shop, and that's when I uh, saw this. New York.) Yeah, y'know what? I thought anything that can fit into this, can't be scary."
"If Monica's not around, then I'm not good enough to raise Emma?",What is wrong with me? Am I.. am I incompetent?
"Goin' out, huh? Wow! Wow! So things didn't work out with Kathy, huh? Bummer.","No, things are fine with Kathy. I'm having a late dinner with her tonight, right after my early dinner with Casey."
I just got engaged to my soulmate.,"Oh, wow. That's amazing. I'm sure the 37 other girls you've called your soulmate will be thrilled to hear that."
"Guys, guys, guess who I am?!",I was being Shelly Winters from The Poseidon Adventure.
Every beautiful woman we see doesn't want to have sex right then and there like in porn.,"Y'know what, we have to turn off the porn."
You fell asleep!! There was no kangaroo!,"Look! This guy fell asleep! He fell asleep too! Be mad at him! Or, call an ambulance."
I just got engaged to my soulmate.,"Wow, that's great. I'm sure the 37 other girls you've called your soulmate will be thrilled to hear that."
I've decided to start a vegan diet.,"Oh, fantastic! Because what you really needed was to be hungry all the time."
So you're gonna be gone four days a week? No.,"I'm sorry, are you just used to saying that?"
"Finally, are you into any weird stuff y'know, sexually?","No! Oooh, wrong answer."
"The meaning of the box is three fold. One , it gives me the time to think about what I did. Two , it proves how much I care about my friendship with Joey.","And three , it hurts!"
I just got engaged to my soulmate.,"Wow, a soulmate. How convenient. Now you can spend the rest of your life with someone who's contractually obligated to love you."
I'm going to start writing a novel.,"Oh, great, because the world is just missing a 500-page memoir about your feelings on socks."
"Well y'know, I've been walking the same way since high school. Y'know, y'know how some guys they walk into a room and everybody takes notice. I think I need a 'take notice' walk.",Are you actually saying these words?
I just got engaged to my girlfriend.,"Oh, wow! Could I BE any happier for you... said no one who's been to your apartment."
"Of course, I didn't get to enjoy any of that, because Joanna's such a big, dull dud!","Well, the movie was great, dinner was great, and there's nothing like a cool, crisp New York evening."
"All right, it's cool you can stay here. My parents won't mind.","No, it's not that, I just don't want to be stuck here all night with your fat sister."
What's wrong with being the Bings?,The Bings have horrible marriages! They yell. They fight. And they use the pool boy as a pawn in their sexual games!
What were you thinking?,"I didn't know it was an auction! I figured, take a guess, help a charity, free boat!"
I've decided to start writing a novel.,"Oh, great, because the world is just missing a 500-page memoir about your feelings on socks."
"Y'know uh, you didn't really have to help me pack.","Well, I-I thought I did but, I-I guess I did not!"
"Well check it out, I was with this really hot girl who just moved in right across the street!",Really? Right across the street?
"So, in conclusion, the lines all go up , so I'm happy. Great job team! Tomorrow at 8:30. Phil! Nice job. Stevens! Way to go! Joel-burg, you maniac! I love ya! Bing! Good job, couldn't have done it without ya.","Thank you, sir."
"Child-birth, it's a natural thing! It's beautiful.","Oh, beautiful? Really? Beautiful? You think this is beautiful?"
Do you want to look down my top?,Thanks. But maybe later.
"Oh, it's nothing, it's a little thing... I hate that guy.","What, so he was a little analytical. That's what he does, y'know? C'mon, he's not that bad."
I just got engaged to my girlfriend.,"Oh, wow, because nothing says 'I love you' like a contract and a ring that's just a fancy way of saying 'you're mine now'."
